card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Lifestyle Home Centre SBI Card Prime,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]","Rs. 2,999 + GST","Rs. 2,999 + GST",N/A,,Reward Points,1 Landmark Reward = 2.4 SBI Reward Point 1 SBI Card Reward Point = Rs. 0.24 1 Landmark Reward = Rs. 0.60 4 Reward Points = Re. 1,,"Earn a total of 58,000 reward points under milestone benefits which are bifurcated as below: 20000 reward points on the annual expenditure of Rs. 500000. 20000 reward points on yearly spend of Rs. 180000 at all Landmark Outlets. 12000 reward points on yearly spend of Rs. 100000 at all Landmark Outlets. 8000 reward points on yearly spend of Rs. 40000 at all Landmark Outlets.","{""domestic"": ""Avail 8 Complimentary visits to domestic airport lounges (max. 2 per quarter)"", ""international"": ""Get complimentary Priority Pass Membership Avail 4 complimentary visits per year (max 2 visits per quarter)""}","The applicant’s age should be between 23-60 years. The income requirement is solely based on the bank’s discretion. The applicant must have a good credit score, preferably above 650.",3.50% p.m.,3.50%,Avail 1% waived off on purchasing fuel worth Rs. 500- Rs. 4000 anywhere in India. | 2.5% or Rs. 500 whichever is higher at national & international ATMs | Rs. 99,"Rs. 2,999 with applicable taxes are charged for a renewal fee. Rs. 2,999 plus GST are charged at the time of joining. Get 12,000 bonus reward points as welcome benefits. Get 12,000 reward points on the payment of the renewal fee. Get cumulative of 58,000 reward points worth Rs. 14,500 under milestone benefits. Earn 15 reward points on every purchase at landmark stores like Lifestyle, Home Centre, etc. Avail 10 reward points on every Rs. 100 spent at dining & movies. Get 2 reward points per Rs. 100 on other retail purchases. Earn bonus reward points of 20,000 on overall retail spends of Rs. 5,00,000.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/lifestyle-home-centre-sbi-card-prime/
Lifestyle Home Centre SBI Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Rs. 499 + GST,Rs. 499 + GST,N/A,,Reward Points,"Redeem Reward Points instantly at Lifestyle, Home Centre and Max stores (1 Landmark Reward = Rs 0.60).",,"With the Lifestyle Home Centre SBI Card’s milestone benefits, you can earn up to 16,000 reward points annually worth Rs. 4,000. Here’s how: Get 8,000 bonus Reward Points on retail spending of Rs. 2,00,000 or more. Get 1,000 bonus Reward Points on spending Rs. 20,000 or more across all Landmark Stores. Earn 2,000 bonus Reward Points on spending Rs. 45,000 across all Landmark Stores. Earn 5,000 bonus Reward Points on spending Rs. 95,000 across all Landmark Stores.","{""domestic"": ""N/A"", ""international"": ""N/A""}",Some specific eligibility requirements need to be fulfilled by the applicants to get approved for this credit card. Some of the basic requirements are as follows: The applicant’s age should be between 21 years to 70 years. The applicant should have a stable income. The credit score of the applicant might also play an important role here.,3.5% per month (42% per annum),3.5% of the transaction amount,"1% fuel surcharge waiver for fuel transaction between Rs. 500 to Rs. 3,000. Capped at Rs. 100 per statement cycle. | 2.5% subject minimum Rs. 500 | Rs. 99 per redemption request.","Enjoy 2,000 bonus reward points worth Rs. 500 on card activation. 5 Reward Points on every Rs. 100 spent at Online & Retail Landmark Stores, Dining & Movies. 1 Reward point on every Rs. 100 spent on other retail purchases. 8,000 bonus Reward Points on spending Rs. 2 Lakh or more in a year. Milestone reward point benefits across all Landmark Stores. 1% fuel surcharge wavier. 2,000 Reward points every year.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/lifestyle-home-centre-sbi-card/
Max SBI Card SELECT,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]","Rs. 1,499 + GST","Rs. 1,499 + GST",Nil,,Reward Points,Redeem your Reward points by converting them into Landmark Rewards and get a double benefit.,,"Max SBI Card Select allows us to earn cumulative 34400 Reward Points worth Rs 8600 on achieving as a milestone benefit. Secondly, you can also earn 12000 bonus Reward Points on spending Rs 3 Lakhs annually. You can earn reward points by achieving annual spending milestone in the following ways: Annual Spends at Landmark stores Bonus Reward Points On spending Rs.150,000 Earn 12,000 On spending Rs.75,000 Earn 8,000 On spending Rs.25,000 Earn 2,400","{""domestic"": ""N/A"", ""international"": ""N/A""}","For the issuance of Max SBI Card Select, there are some basic eligibility criteria- Age should between 18 -60 years. Regular source of Income whether the person is salaried or self-employed. One should have a decent credit score or credit history (Preferably over 700).",3.5% per month or 42% per annum,3.5% of the total transaction value.,1% of Fuel Surcharge Waiver (Maximum waiver of Rs 100 per statement cycle) at all fuel stations across India. | 2.5% of the total transaction amount (Minimum Rs. 500) | Rs 99,"Earn 6000 bonus reward points on paying annual fees. Earn 10 Earn Reward Points on every Rs 100 spent on all Online and Offline Landmark stores. Earn 2 Reward Points on every Rs 100 spent on all other online and offline purchases. Get Reward Points spent on dining and movies. Redeem your Reward points by converting them into Landmark Rewards. The benefit of fuel surcharge waiver of 1% at all fuel stations pan India. Earn 6000 Bonus reward points as a renewal benefit. Earn up to 12,000 Reward points as Milestone benefits on annual spending.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/max-sbi-card-select/
Mumbai Metro SBI Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Rs. 499 + GST,Rs. 499 + GST,"Waiver of renewal fee on spending Rs. 1,00,000 in the previous year.",,Reward Points,"Redeem reward points for paying outstanding balance, e-vouchers, gifts, purchasing electronics, homeware, accessories, lifestyle products, Disney+ Hotstar Premium memberships, livemint subscription and more. 1 RP = Rs. 0.25.",,,"{""domestic"": ""NA"", ""international"": ""NA""}","In order to get approved for the SBI Mumbai Metro Credit Card, you will have to fulfill certain eligibility requirements, which are as follows: The cardholder’s age needs to be above 18 years (in the case of salaried people) and above 21 years (in the case of self-employed people). The applicant should have a stable income source. The applicant should have a decent credit history.",3.50% p.m. (42% p.a.),3.50%,"Avail 1% fuel surcharge waiver at all petrol pumps in India on transactions between ₹ 500 – ₹ 3000. Maximum limit of fuel surcharge waiver is capped at ₹ 100. | 2.5% of the advance amount (minimum of Rs. 500) | ₹ 99 (on gifts, cash redemption & specific vouchers only)","The joining fee of Mumbai Metro SBI Card is ₹ 499. As welcome benefits, get 2000 reward points on spending ₹ 2,000 within 60 days and a preloaded value of ₹ 50 on your card. Enjoy the auto top-up of ₹ 200 facility on reaching balance at ₹ 50. 10 reward points on every ₹ 100 spent on top-up. 10 reward points on every ₹ 100 spent on dining, movies, grocery and departmental stores (up to 5000 RPs in a month). 1 reward points on every ₹ 100 spent on other categories.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/mumbai-metro-sbi-card/
Nature’s Basket SBI Card Elite,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]","Rs. 4,999 + GST","Rs. 4,999 + GST",Annual Fee waived off on spending Rs. 10 lakhs or more in the previous year.,,Reward Points,"Redeem reward points for Nature’s basket loyalty program, also at Shop and Smile Rewards Catalogue.1 Reward Point= Re. 0.25",,"Enjoy Taj Gift Vouchers worth Rs. 10,000 on spending Rs. 6 Lakh or more in a year.","{""domestic"": ""2 complimentary Domestic Airport Lounge access every quarter."", ""international"": ""2 complimentary International Airport Lounges access every quarter.""}",The Nature’s Basket SBI Card Elite is one of the popular credit cards in the Indian market. Some specific eligibility requirements need to be fulfilled by the applicants to get approved for this credit card. Some of the basic requirements are as follows: The applicant’s age should be between 21 years to 70 years. The applicant should have a stable income. The credit score of the applicant might also play an important role here.,3.5%  p.m. (42% p.a.),3.5% of the transaction amount,"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 4,000. Capped at Rs. 100 per month. | 2.50% of the withdrawn amount, subject to a minimum charge of Rs. 500 | Rs. 99 per redemption request","Complementary access to Connoisseur, Nature’s Basket loyalty program. Nature’s Basket Gift Voucher worth Rs. 5,000 as a welcome benefit. 20 Reward Points on every Rs. 100 spent at Nature’s Basket. 10 Reward Points on every Rs. 100 spent at Dining, movie, entertainment and international spends. 2 Reward Points on every Rs. 100 spent on all other retail purchases. Complimentary access to international airport lounges with priority pass membership. Complimentary access to domestic airport lounges. Rs. 250 off per movie ticket every month. 1% fuel surcharge waiver for transactions between Rs. 500 and Rs. 4,000. Spend-based annual fee waiver.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/natures-basket-sbi-card-elite/
Nature’s Basket SBI Card,SBI Card,Best SBI,Visa,"[""Best SBI"", ""Best SBI Credit Cards""]","Rs. 1,499 + GST","Rs. 1,499 + GST",Waiver of renewal fee on the spending of Rs. 2 Lakhs or more in the previous year.,,Reward Points,The reward points earned with this credit card can be redeemed via Nature’s Basket Loyalty Program or via Shop and Smile Rewards Catalogue. 4 Reward Points = Re. 1,,"Once the cardholder has reached the annual spends of Rs. 3 Lakhs in an anniversary year, he will get a gift voucher worth Rs. 3,000 from any one of the premium brands like – Aldo, Inglot, Bath & Body Works, and Charles & Keith.","{""domestic"": ""4 complimentary visits in a year to Domestic Airport Visa Lounges in India"", ""international"": ""NA""}","Only Indian residents can apply for this card. Both salaried and self-employed individuals, above the age of 18 years can apply for this credit card. The add-on cardholder should at least be 18 years of age to get this card. The cardholder should have a stable source of income. The cardholder must have a good credit score to be eligible for this credit card.",3.5% per month (or 42% annually),3.5% on all international transactions,"1% at all fuel stations in India. The surcharge amount is capped at Rs. 100 per statement cycle. | 2.5% of the amount or Rs. 500, higher of the two | Rs. 99 per redemption request","2x Reward Points while spending on Nature’s Basket. 5 Reward Points while spending on movies, dining, entertainment, and international spends. Gift vouchers from Nature’s Basket in the form of Welcome Benefits. Gift vouchers from premium brands such as Aldo, Bath & Body Works, and Charles & Keith as milestone benefits. Complimentary access to Domestic Visa Airport Lounges in India. 1% fuel surcharge waiver at all fuel stations.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/natures-basket-sbi-card/
OLA Money SBI Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Nil,Rs. 499 + GST,Renewal fee waiver on a spend of Rs. 1 lakh or more in the previous year.,,Reward Points,"The reward points are automatically credited to your OLA money wallet. Here, 1 Reward Point = Rs. 1.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The reliability requirements that the applicants need to fulfill in order to get approved for the Ola Money SBI Card are as follows: The age of salaried individuals must be between 18 years and 65 years. The age of self-employed people should be between 21 years and 60 years. The applicant should have a stable source of income.,3.75% Per Month (45% Per Annum),3.5% on all foreign currency spends,1% fuel surcharge waiver at all fuel stations in India with a maximum surcharge benefit of Rs. 100 in a statement cycle. | 2.5% or Rs. 500 (whichever is higher) | Rs. 99,Earn 1% Reward Points on all your spending. Earn 7% Reward Points on all OLA rides. No Joining fee is charged A spend-based waiver on the renewal fee is provided.,[],[],,cardinsider.com,https://cardinsider.com/sbi-card/ola-money-sbi-credit-card/
Paytm SBI Credit Card Select,SBI Card,Best SBI,Visa,"[""Best SBI"", ""Best SBI Credit Cards""]","Rs 1,499 + GST","Rs 1,499 + GST",N/A,,Cashback,N/A,,"Complimentary Paytm First membership voucher at renewal on achieving annual spending milestone of Rs 1 lac. Earn Milestone E-Gift vouchers of Bata/ Hush Puppies and Pantaloons on achieving the Annual spends milestone. With the Paytm SBI credit card, Select you to get the following Milestone benefits-","{""domestic"": ""Complimentary Domestic Airport Lounge access 4 times in a year, capped to 1 visit per quarter."", ""international"": ""Complimentary Priority Pass worth US $99 for 2 years of cardholder membership under the International Lounge Program.""}","For the issuance of Paytm SBI Credit Card Select, there are some basic eligibility criteria- One should be at least 18 years or above. Regular source of Income, whether the person is salaried or self-employed. One should have a decent credit score or credit history (Preferably above 700).",3.5% per month or 42% per annum.,3.5% of the total transaction value.,1% Fuel Surcharge Waiver (Maximum waiver of ₹250 per statement cycle) | 2.5% of the total transaction amount (Minimum Rs. 500) | Rs 99,Complimentary Paytm First Membership is provided on card activation as welcome offer. Welcome Cashback of Rs 750 is provided upon activation of the credit card. Earn cashbacks on Paytm Mall and Paytm App as Reward. Complimentary Domestic Airport Lounge access 4 times in year. Complimentary Priority Pass worth US $99 under the International Lounge Program. Fuel Surcharge Waiver of 1% can be availed at all fuel stations across India (Maximum waiver of Rs 250 per statement cycle). Earn gift vouchers as a Milestone Benefit. Complimentary Paytm First membership voucher at renewal on achieving annual spends milestone of Rs 1 lac. Cyber Fraud Insurance Cover worth Rs 2 Lacs.,[],[],,cardinsider.com,https://cardinsider.com/sbi-card/paytm-sbi-credit-card-select/
Paytm SBI Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Rs. 499 + GST,Rs. 499 + GST,N/A,,Cashback,Redeem cashback on Paytm gift vouchers balance,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The eligibility criteria required for the Paytm SBI Credit Card are as follows: The age of the applicant should be minimum of 18 years. He should be either salaried or self-employed and have a good credit score.,3.50% p.m. (42% p.a.),3.5% of the amount transacted,"1% fuel surcharge will be waived off at all fuel stations in India. | 2.5% of the amount withdrawn, subject to a minimum of Rs. 500 | ₹ 99 while redeeming specific vouchers, gifts, and cash redemption.","3% Cashback on every Rs. 100 spent on all Paytm Mall, movies, and travel 2% Cashback on every Rs. 100 spent on all other purchases on Paytm App 1% Cashback on every Rs. 100 spent on any other offline/online transactions Complimentary Paytm First membership worth Rs 899 Liability Protection cover of Rs 1,00,000 in case of fraudulent transaction Fuel surcharge waiver of 1% on fuel transactions between Rs 500 and Rs 3000",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/paytm-sbi-credit-card/
PhonePe SBI PURPLE Credit Card,SBI Card,Best SBI,RuPay,"[""Best RuPay Credit Cards for UPI Payments"", ""Best SBI"", ""Best SBI Credit Cards""]",NIL (Limited Time Offer),₹499 + GST,Annual Charges are Reversed on Spends of ₹1 Lakh,,Reward Points,1 Reward Point = ₹1 and Can be Redeemed as Statement Credit or as Gift Vouchers,,"This card even rewards those who make high spends of ₹3 lakh per year with a voucher of ₹3,000 from the popular travel booking platform Yatra. That’s an additional 1% reward rate on top of the regular one.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A",The PhonePe SBI Purple Credit Card comes at an affordable joining and renewal fee of ₹499 + GST. Cardholders would receive a ₹500 PhonePe gift voucher upon realization of the joining charges. This card is most suited for everyday utility bill payments.,"[""The card offers decent returns at a decent price."", ""This card can be easily used for UPI payments.""]","[""The reward rate should have been higher than 3% for this card, considering that the premium one offers 10% returns."", ""The Reward Point validity could have been higher than 12 months.""]",,cardinsider.com,https://cardinsider.com/sbi-card/phonepe-sbi-purple-credit-card/
