card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Kotak 811 #DreamDifferent Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,1 Reward Point = ₹0.20,,"On spending Rs. 72,000 or more in an anniversary year using your Kotak Dream Different Credit Card, you get an Amazon voucher worth ₹1,000.","{""domestic"": ""N/A"", ""international"": ""N/A""}","There are no strict eligibility criteria for the Kotak Dream Different Credit Card as it is a secured card. The basic requirements that you need to fulfill are as follows: The primary and the add-on credit card applicants should be more than 18 years of age. He should be an Indian resident. A minimum FD amount of Rs. 10,000 is required.",3.75% Per Month (45% Annually),3.5% on all international transactions.,"1% Fuel Surcharge Waiver for All Transactions Between ₹500 & ₹3,000 | Rs. 300 per Rs. 10,000 withdrawn. | Nil",No joining/renewal fee. Get 1 Reward for every Rs. 100 you spend. 4 Reward Points for every Rs. 100 spent on online purchases. A welcome gift of 500 bonus Reward Points. Spend-based bonus vouchers every year. A 1 % fuel surcharge waiver. Railway surcharge waiver.,[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-811-dreamdifferent-credit-card/
Kotak Air Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil (LIMITED TIME OFFER),₹999 + GST,Annual Fee Waiver on Spends of ₹2.5 Lakh in a Year,,Air Miles,Redeem on Kotak Unbox at 1 Air Mile = ₹1 or Transfer to Partner Airline or Hotel,,"Kotak Air Credit Card shall earn a ₹5,000 travel voucher or equivalent Air Miles on every ₹2.5 lakh spent, up to two times in an anniversary year. That means cardholders can unlock flight benefits worth up to ₹10,000 annually just through regular spending.","{""domestic"": ""One Free Visit Per Quarter on Spending ₹60,000 or More in the Previous Quarter"", ""international"": ""N/A""}",,3.75% Monthly | 45% Yearly,3.50%,"1% Waiver for Fuel Transactions Between ₹500 and ₹5,000 | 2.5% | N/A","The Kotak Air Credit Card is an affordable and simple travel offering. This card can be opted for by paying a joining charge of ₹999 + GST. Cardholders shall be eligible for a joining bonus of 1,000 Air Miles on successful payment of joining charges. Kotak Air Credit Cardholders shall be eligible for complimentary domestic airport lounge access. This shall be based on spending requirements Earn 3 Air Miles per ₹100 on flight and hotel bookings via Kotak Unbox, and 1 Air Mile per ₹100 on all other purchases.","[""Those looking for a simple Air Miles credit card with an affordable fee structure can consider this card, as it is easy to understand and budget-friendly.""]","[""The conversion ratio to partner airlines and hotels could have been better. For example, when transferring to Air India or Marriott Bonvoy, you need 3 Kotak Air Miles to get 1 partner point, which lowers the overall value.""]",,cardinsider.com,https://cardinsider.com/kotak/kotak-air-credit-card/
Kotak Bank Fortune Gold Card,Kotak Mahindra Bank,Kotak Mahindra Bank,Visa,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil,Nil,N/A,,N/A,N/A,,"You get 4 free PVR movie tickets or a cashback of Rs 750 on annual spending of Rs 1,50,000 using Kotak Bank Fortune Gold credit card","{""domestic"": ""N/A"", ""international"": ""N/A""}","The applicant should be of an age bracket of 21 years to 65 years. The add-on cardholder should be of an age of 18 years Applicant should reside in the following locations Ahmedabad, Mumbai, Navi Mumbai, and Pune. Bangalore, Chandigarh, Chennai, Delhi (including Gurgaon and Noida), Hyderabad, Kolkata. Self-employed income criteria are 3 lakhs whereas income criteria for salaried employees are provided at the bank’s discretion The applicant should be a resident of India.",3.5% per month,3.5% per foreign conversion,1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 3000 | Rs 199 | Nil,"Zero Membership Fee Charged 4 free PVR movie tickets or a cashback of Rs 750 on spends of Rs 1,50,000 1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 3000 Zero liability cover up to Rs 50,000 is provided with this credit card in case of any fraudulent transactions",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-bank-fortune-gold-card/
Kotak Cashback+ Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Best Cashback Credit Cards in India"", ""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil (LIMITED TIME OFFER),₹750 + GST,On Spends of ₹2 Lakh Each Year,,Cashback,Redeem Points as Cashback. 1 Reward Point = ₹1,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75%/Monthly and 45% Yearly,3.50%,1% Waiver on Transactions Between ₹500 and ₹4000 | N/A | N/A,"The Kotak Cashback+ Credit Card, as the name suggests, is a dedicated card for cashback. This card offers 5% cashback for online food delivery, entertainment, and groceries. Cardholders will also earn 3% cash back on fuel spends and unlimited 0.5% cash back on all other eligible purchases.","[""The Kotak Cashback+ Credit Card is an entry-level credit card and would be most suited for those with mediocre spends.""]","[""There are no renewal or welcome benefits associated with this card.""]",,cardinsider.com,https://cardinsider.com/kotak/kotak-cashback-credit-card/
Kotak Essentia Platinum Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,Visa,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]","₹1,499 + GST",₹749 + GST,Nil,,Reward Points,"Saving Points redeemable on Kotak Rewards portal for travel-related spends, shopping, mobile recharge,  shopping vouchers and movie tickets. The Saving Points can also be used as cash (1 Point = Re. 1) at partner merchants.",,"You get 6 movie tickets by PVR Cinemas or 1200 Reward Points on achieving the milestone of spending Rs. 1,250,00 in 6 months. The PVR tickets will expire 3 months after the program period gets over. You can use the PVR tickets to watch any show any day. The tickets are also transferable. If you choose to get Reward Points instead, the same are credited to your card account in the next billing cycle. There are many options for the redemption of the Reward Points like air tickets, movie tickets, mobile recharge and branded merchandise. The Reward Points must be claimed within 3 months after the program gets over.","{""domestic"": ""NA"", ""international"": ""NA""}","The age of the applicant must be between 21 and 65 years. The card is available only at select locations – Ahmedabad, Bangalore, Chandigarh, Chennai, Delhi (including Gurgaon and Noida), Hyderabad, Kolkata, Mumbai, Navi Mumbai and Pune.",3.75% Per Month or 42% Annually,3.5% + GST,"Applicable, subject to a minimum surcharge of Rs. 10 | 2.5% or a Minimum of ₹500 | Nil","Reward Points earned as Saving Points for all transactions. 10 Saving Points for every Rs. 100 spent on departmental and grocery stores (min transaction of Rs.1,500 and max transaction of Rs. 4,000). Saving Points earned on purchases from grocery and departmental stores capped at 500 Points/month. 1 Saving Point for every Rs. 250 on all other spends (no cap in this case). 1 Saving Point = Re. 1 redeemable on Kotak Rewards Portal or for payments at partner merchants. 6 movie tickets or 1200 Reward Points on expenditure of Rs. 1,25,000 in 6 months. Support for contactless payment with Visa payWave. No PIN required for transactions up to Rs. 5,000. Priority assistance with KASSIST.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-essentia-platinum-credit-card/
Kotak League Platinum Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Lifetime Free,Lifetime Free,"Get spend based waiver on the annual fee of Rs 500 on annual spending of Rs 50,000.",,Reward Points,You can redeem the reward point accumulated at the Kotak rewards portal. You can use the Pay with Points facility provided by the bank at the partner merchant store.,,"The Kotak League Premium Credit Card offers users four free PVR tickets or 10,000 reward points on spending ₹1,25,000 every six months, as a part of its milestone spending benefit. Cardholders can select either of the redemption options, whichever they prefer the most.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Per Annum),3.5% on the conversion amount,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or a Minimum of ₹500 | Nil","8x reward points on annual spending up to ₹2 lacs on special categories and 4x reward points on other categories. 8x reward points on annual spending of ₹2 lacs or above on special categories, as well as other categories. Get four free PVR tickets or 10,000 Reward Points on spending Rs 1,25,000 every 6 months Protection liability up to Rs 1,25,000 in case of theft or loss of the card. Spend-based waiver on annual spending of ₹50,000. 1% fuel surcharge waiver on your fuel transactions between ₹500 and ₹3000.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-league-platinum-credit-card/
Kotak Mahindra Bank UPI RuPay Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,RuPay,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,1000 Reward Points = Rs. 100,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","You would need to fulfil the following criteria to successfully apply for a Kotak Bank UPI RuPay Credit Card- Applicant must be a citizen of India, Applicant must be between the ages of 18 and 65, Applicant must be an existing Kotak Bank customer.",3.5% (Annual Rate – 42%),3.5% Per Transaction  + GST,N/A | N/A | N/A,You can earn reward points on your UPI spends with this card. This is a virtual credit card. This is a lifetime free credit card. Earn 3 Reward Points per spend of Rs. 100 made with this card.,"[""You can earn reward points on your UPI spends with this card."", ""Earn 3 Reward Points per spend of Rs. 100 made with this card.""]","[""There are no welcome benefits associated with this card."", ""Apart from reward points, there aren’t many benefits with this card.""]",,cardinsider.com,https://cardinsider.com/kotak/kotak-mahindra-bank-upi-rupay-credit-card/
Kotak Mojo Platinum Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]","₹1,000 + GST","₹1,000 + GST","The joining fee is waived off on spending Rs. 30,000 or more within the first 90 days and the renewal fee is waived off on spending Rs. 1 lakh or more in the previous year.",,Reward Points,Mojo Points Can be Redeemed Against Various Categories at a Rate of 1 Mojo Point = ₹0.20,,"You get gift vouchers worth Rs. 2,500 on spending Rs. 75,000 or more in a quarter. This benefit is applicable for the first year only.","{""domestic"": ""2 Complimentary Domestic Lounge Access Every Quarter on Spends of ₹75,000 in the Previous Quarter"", ""international"": ""N/A""}",There are certain eligibility requirements that need to be fulfilled by your if you want to get approved for this card. Some basic eligibility criteria for the Mojo Kotak Credit Card are given below: The age of the applicant (primary cardholder) should be between 21 years and 65 years. The applicant should be a resident of India. The net annual income of the applicant should be 4 lakhs or more.,3.75% Per Month (45% Annually),3.50%,"You get a 1% fuel surcharge waiver across all fuel stations for all fuel transactions between Rs. 500 & Rs. 3,000 | 2.5% or a Minimum of ₹500 (Whichever is Higher) | Nil","Get 1 Mojo Point on every Rs. 100 you spend. Get 2.5x Mojo Points on online spends and 5x Mojo Points on KayMall spends. Mojo Points redeemable against the outstanding statement. Get complimentary domestic lounge access every year. Gift vouchers worth Rs. 1,000 on achieving the milestone spend. Spend-based joining and renewal fee waiver. Insurance cover against a lost/stolen card. Save more through fuel surcharge waiver & railway surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-mojo-platinum-credit-card/
Kotak Privy League Signature Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,Visa,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil (For Both Variants),"Rs. 2,500 + GST (for the Paid Variant), Nil (for Free Variant)",The annual membership fee will be waived off if the cardholder spends Rs. 5 lakh in the preceding year or by maintaining Insignia or True Optima Banking Relationship,,Reward Points,Reward Points redeemable on Kotak reward redemption portal.,,You get spend-based milestone benefits on the credit card based on the spendings in an anniversary year. The benefits are earned as per the tables below- For the Paid Variant For the Free Variant,"{""domestic"": ""2 Complimentary visits to the Dream Folks Lounges in India"", ""international"": ""Complimentary Priority Pass membership (with both variants), 4 complimentary lounge visits every year visits with Priority Pass (paid variant only)""}","To be eligible for the credit card, you must be A Privy League banking customer, In the age bracket of 21 years and 65 years, Resident of India, The minimum age for an add-on credit card holder is 18 years, This card is available to customers located in Chandigarh, Ahmedabad, Bangalore, Chennai, Delhi, Gurgaon, Noida, Hyderabad, Kolkata, Mumbai and Pune.",2.49% per month (29.88% annually),2% for paid variant and 3.5% for the free variant (exclusive of GST),"Waived | Rs. 300 per Rs. 10,000 withdrawn or part thereof | Nil","The card is exclusive to Privy customers of the bank and is offered in two variants- the paid variant and the free variant. Under the shopper’s plan, you get 5X reward points on select shopping categories (the categories slightly differ for the two variants) and 2X reward points on all other spends. Traveller’s plan earns you 5X reward points on select travel categories (categories different for the two variants) and 2X points on all other spends. 6,400 bonus reward points every quarter on expenditure of Rs. 1,000 in all three months of the previous quarter (applicable only for paid variant). Bonus reward points for achieving incremental spending milestones. Complimentary domestic airport lounge access and Priority Pass membership (4 complimentary visits with Priority Pass on the paid variant). A lower interest rate of 2.49% per month. Fuel and railway surcharge waiver. Premium concierge service regarding hotel/flight bookings, spa/fitness centre information, referral assistance, etc.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-privy-league-signature-credit-card/
Kotak Royale Signature Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil,Rs. 999 + GST,"The renewal fee can be waived if you spend Rs. 1,00,000 or more in the preceeding year.",,,The Reward points are redeemable on kotakrewards against various categories. 1 RP = 18.75 paise.,,"You get 10,000 Reward Points on achieving a spend of Rs. 4 lakhs in a year. You get 30,000 Reward Points if you spend Rs. 8 lakhs or more in a year. You get these bonus Reward Points at the end of the term.","{""domestic"": ""2 complimentary access to domestic lounges per quarter"", ""international"": ""NA""}",The following table shows the eligibility criteria for the Kotak Royal Signature Card:,3.4% per month,3.5% on all foreign currency spends,"1% fuel surcharge is waived at all fuel stations. | Rs. 300 per Rs. 10,000 withdrawn | Nil","No joining fee. Get 2 Reward Points per Rs. 150 you spend with your Kotak Royale Signature Credit Card. Get 4 Reward Points for every Rs. 150 spent on restaurants, hotels, airlines, travel agencies, international spends, etc. Get complimentary airport lounge access. A 1% fuel surcharge waiver. Railway surcharge waiver. Spend-based renewal fee waiver. Earn up to 30,000 bonus RPs every year based on your spends.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-royale-signature-credit-card/
Kotak Urbane Gold Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Nil,Rs. 199 + GST,"Get the annual fee waived on spending Rs. 15,000 in the previous year.",,Reward Points,"Redeem the earned points for various categories like Movie Tickets, Mobile Recharge, etc. Rewards Points can used to pay your shopping bills through PayByPoints Program",,"With Kotak Urbane Gold Credit Card, upon reaching the spending limit of Rs. 1,00,000 ; you have the option to avail any 1 of the following milestone benefits : Free PVR Tickets – 4 Bonus Reward Points – 10,000 If you opt for PVR Tickets, you can use them for any day, any show and can even transfer them. These can be redeemed against movie tickets booked through pvrcinemas . These can be claimed within 3 months of the expiry of the program period. Further, the tickets have to be priced under Rs. 400. If you book a ticket that costs you more than Rs. 400, you will have to pay the amount over and above Rs. 400. If you opt for Rewards Points, they will be credited in your account in the next billing cycle and can be redeemed against AirTickets, Movie Tickets, Mobile Recharge or Branded Merchandise. The reward points can be claimed within three months of the expiry of the program period.","{""domestic"": ""N/A"", ""international"": ""N/A""}","Following are the Eligibility criteria applicable for the Urbane Gold card by Kotak Bank which need to be fulfilled by the applicant: This card is applicable only in a few locations as of now which are- Ahmedabad, Chennai, Bangalore, Delhi (including Gurgaon and Noida), Kolkata, Mumbai, Hyderabad, Navi Mumbai & Pune",3.5% per month (or 42% annually),3.5% on all foreign transactions,"N/A | Rs. 300 per Rs. 10,000 withdrawn | Nil","3x Reward Points per Rs. 100 spent Either 4 PVR Tickets or 10,000 Reward Points as Milestone benefit Insurance coverage for a lost card Get add-on card and enjoy added benefits",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-urbane-gold-credit-card/
