card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Citibank PremierMiles Credit Card,Citibank,Citibank,"Visa, Mastercard","[""Citibank"", ""Citibank Credit Cards""]","Rs. 3,000 plus applicable taxes (complimentary for Citi Gold account holders)","Rs. 3,000 plus applicable taxes (complimentary for Citi Gold account holders)",N/A,,Air Miles,"1 Mile = 0.5 AirMile for partner airlines, 1 Mile = Re. 0.45 for travel related categories, 1 Mile = Re. 0.30 for utility, fuel and retail categories, and 1 Mile = Re. 0.20 for other categories.",,,"{""domestic"": ""6 domestic lounge access/quarter with MasterCard variant.8 domestic lounge access/quarter with Visa Signature variant."", ""international"": ""N/A""}","In order to get approved for the Citibank Premiles Credit Card, the applicants need to fulfill some eligibility requirements and some of the basic requirements are as follows: The age of the applicant should be between 23 years and 70 years. The applicant should either be salaried or self-employed with a good annual income. The applicant should have a good credit score.",3.75% per month (or 45% per annum),3.5% of the transaction amount,"1% fuel surcharge reversed at authorized Indian Oil refill stations | 2% or the amount withdrawn, subject to a minimum charge of Rs. 300 | Nil","10,000 Miles as a Welcome Benefit on the expenditure of Rs. 1000 or more using Citibank PremierMiles Credit Card within 60 days of issuance of the card. 3,000 Miles every time the card membership is renewed. 10 Miles for every Rs. 100 spent on airline transactions or on the bank’s Premier Miles portal with Citibank PremierMiles Credit Card. 4 Miles/Rs. 100 spent for all other expenditures. Miles redeemable on 100+ Airlines and transferable to other partner airlines/hotel loyalty programs. Domestic lounge access at select airports across India. Up to 20 % discount on bills at partner restaurants.",[],[],,cardinsider.com,https://cardinsider.com/citibank/citibank-premiermiles-credit-card/
First Citizen Citi Credit Card,Citibank,Citibank,,"[""Citibank"", ""Citibank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"You can get the renewal fee waived off if you spend Rs. 30,000 or more in the previous year.",,Reward Points,"The First Citizen points earned will be automatically transferred to the Shoppers stop, and you can redeem the points available at Shoppers Stop instantly. 1 First Citizen Point = Re. 0.60.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% per month,3.5% on all foreign currency spends,1% fuel surcharge which is waived on Authorized IOCL Outlets | 2.5% of the transacted amount or Rs. 500 (whichever is higher) | Nil,"500 First Citizen Points on your first purchase if done within 30 days after receiving the card. 14 First Citizen Reward points on every spend of Rs. 200 at Shoppers Stop on private brand apparel. 10 First Citizen Reward points on every spend of Rs. 200 at Shoppers Stop on other brands. 2 First Citizen Reward Points on every other spend of Rs. 200. The annual fee is waived off on spending Rs. 30,000 or more in the previous year. Several other privileges including complimentary parking at Shoppers Stop. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/citibank/first-citizen-citi-credit-card/
IndianOil Citi Credit Card,Citibank,Citibank,,"[""Citibank"", ""Citibank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST","On spending Rs. 30,000 or more in the last year, the annual fee would be wavied off.",,Reward Points,"For redemption against fuel, 1 TP = Re.1, for other categories 1 TP = Re. 0.25 to Re. 0.35, and for AirMiles, 1 TP = 0.75 Airmile/Intermile.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",Following are the eligibility criteria that one needs to follow if they want to get approved for the Indian Oil Citi Card:,3.75% per month,3.5% on all foreign currency transactions.,1% fuel surcharge waiver at all IndianOil outlets. | 2.5% of the amount withdrawn or a minimum of Rs. 500. | Nil,"1 Turbo Point for every Rs. 150 you spend. You get 2x Turbo Points for spending on groceries and supermarkets. You get 4x Turbo Points on spending on fuel at authorized IndianOil outlets. Get a welcome bonus of 250 Turbo Points. Turbo Points are redeemable against a variety of categories, including fuel, cashback, shopping, etc. Exciting dining discount offers across several participating restaurants. A 1% fuel surcharge waiver. Spending-based renewal fee waiver. 24*7 customer support.",[],[],,cardinsider.com,https://cardinsider.com/citibank/indianoil-citi-credit-card/
DBS Spark Credit Card,DBS Bank,Best DBS Bank,,"[""Best DBS Bank"", ""Best DBS Bank Credit Cards""]",Rs. 499 + GST,Rs. 499 + GST,"Renewal Fee at Spends of Rs. 1,50,000",,Reward Points,1 Cash Point = Rs. 0.20. Redemption at DBS Delights,,,"{""domestic"": ""One Free Visit Each Quarter (4 Per Year)"", ""international"": ""N/A""}",,3.5% – 4% Per Month (42% – 48% Per Annum),3.50%,1% Fuel Surcharge Waiver | 2.5% of the Amount Withdrawn | Rs. 99 + GST,"This card comes with three variants, which can be availed at a fee of Rs. 499, Rs. 999, and Rs. 1,499.","[""With the Spark Credit Card, customers can choose the variant that is most suited for them and opt for it. This card provides customers with the flexibility to choose options according to their budgets and needs.""]","[""No international lounge access is offered with this credit card.""]",,cardinsider.com,https://cardinsider.com/dbs-bank/dbs-spark-credit-card/
DBS Vantage Credit Card,DBS Bank,Best DBS Bank,,"[""Best DBS Bank"", ""Best DBS Bank Credit Cards""]","Rs. 50,000 + GST","Rs. 50,000 + GST","Annual Fee Waiver on Spends of Rs. 10,00,000 in a Year",,Reward Points,1 VP = Rs. 1 When Redeemed at DBS Delights,"Get 10,000 Vantage Points worth Rs. 10,000 on making the first transaction within 30 days of card issuance. Apart from these reward points, cardholders can also choose the luxury hotel membership of their choice from the following hotels: Taj Epicure, ITC Culinaire, and Club Marriott. Cardholders can only avail of one membership, which can be redeemed at DBS Delights.","Given below are the benefits you can accumulate by spending on your Vantage Card. 5,000 Vantage Points on spends above Rs. 3 lakh in a calendar quarter. 10,000 Vantage Points on spends above Rs. 5 lakh in a calendar quarter. 40,000 Vantage Points on spends above Rs. 20 lakh in a calendar year. A maximum of 40,000 Vantage Points can be earned in a year. Customers can earn bonus Vantage Points for various milestones by spending on fuel purchases, wallet loads, duty-free shopping, rent payments, cash withdrawals, and EMI conversions.","{""domestic"": ""Unlimited Visits Across India"", ""international"": ""Unlimited Visits Across the Globe""}",,3.5% – 4% Monthly (42- 48% Per Annum),1.75%/ Zero (For Singapore),1% Fuel Surcharge Waiver | 2.5% of the Cash Amount (Minimum Rs. 500) | Rs. 99 + GST,"This is a super premium credit card offered by DBS Bank India. The joining and renewal fee for this card is Rs. 50,000. Earn 4 Vantage Points with this card for domestic purchases and 8 Vantage Points for international spends. This card offers unlimited domestic and international lounge access.","[""International businessmen who often travel to Singapore can take advantage of the zero forex charges."", ""Vantage Credit Card holders enjoy unlimited domestic and international lounge access.""]","[""Unlimited lounge access is only valid for primary cardholders, not for add-on credit card holders.""]",,cardinsider.com,https://cardinsider.com/dbs-bank/dbs-vantage-credit-card/
Equitas Bank PowerMiles Credit Card,Equitas Small Finance Bank,Best Equitas Small Finance Bank,,"[""20+ Best Travel Credit Cards"", ""Best Credit Cards for International Travel 2026"", ""Best Equitas Small Finance Bank"", ""Best Equitas Small Finance Bank Credit Cards""]","₹5,000 + GST","₹5,000 + GST",Spend ₹4.8 Lakh in an Anniversary Year for Annual Fee Waiver,,Reward Points,Redeem Reward Points at 1:1 Ratio for Luxury Brands & Experiences,,,"{""domestic"": ""2 Complimentary Access Per Quarter"", ""international"": ""1 Complimentary Access Per Quarter""}",,3.75% Per Month (45% Annually),2%,"1% Waiver Up to ₹3,000 on Transactions Between ₹500 & ₹3,000 | 2.5% or ₹250, Whichever is Higher | N/A","The card’s premium metal body gives it a sophisticated, high-end feel, making it an attractive choice for luxury lovers. Cardholders who spend ₹4 lakh or more in an anniversary year can benefit from an annual fee waiver, making it a cost-effective option for high spenders. The card includes a ₹1 crore air accident cover, providing financial security and peace of mind for frequent travelers, especially those who book their flights using the card.","[""The card offers a low foreign currency markup of just 2%, making it a cost-effective option for those who frequently make international transactions."", ""It allows for seamless points transfer to partner loyalty programs at a 1:1 ratio, enabling cardholders to maximize their rewards for travel and luxury experiences."", ""The card provides an accelerated reward rate for international spending, granting 3X reward points on international POS and online purchases. It enhances its appeal for frequent travelers and individuals who spend significantly on foreign transactions.""]","[""The card comes with a ₹3,500 charge for add-on credit cards, which may be considered high compared to other premium offerings."", ""The card does not offer exclusive perks for movie or dining experiences, making it less appealing to those who frequently spend in these categories.""]",,cardinsider.com,https://cardinsider.com/equitas-small-finance-bank/powermiles-credit-card/
Equitas Bank Selfe Credit Card,Equitas Small Finance Bank,Best Equitas Small Finance Bank,,"[""Best Equitas Small Finance Bank"", ""Best Equitas Small Finance Bank Credit Cards""]","₹1,000 + GST","₹1,000 + GST",Spend ₹2 lakh in a Year,,Reward Points,"Redeem Reward Points for Products, Vouchers, Cashback, Flight Bookings, and Hotel Bookings",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,"3.75% Per Month, 45% Yearly.",3.50%,"1% Waiver Up to ₹3,000 on Transactions Between ₹500 & ₹3,000 | 2.5% of the Amount Withdrawn or ₹250, Whichever is Higher. | N/A",Users earning between ₹5 lakh and ₹18 lakh annually are eligible to apply. The card offers 2X reward points on general spending and 5X points on select categories. The Equitas Selfe Credit Card allows users to choose their card variant in terms of style and payment network.,"[""Complimentary subscriptions to popular platforms like Amazon Prime and JioHotstar."", ""Spend-based waiver on the annual fee by spending ₹2 lakh in a year."", ""It gives users the convenience of choosing a billing cycle date and their preferred payment network.""]","[""No added travel benefits, lounge access, or dining privileges."", ""Additional charge for selecting a unique style variant of the card."", ""The reward redemption value for cashback can be as low as ₹0.15, which is only 0.30% back to the user.""]",,cardinsider.com,https://cardinsider.com/equitas-small-finance-bank/selfe-credit-card/
Equitas Bank Tiga Credit Card,Equitas Small Finance Bank,Best Equitas Small Finance Bank,,"[""Best Equitas Small Finance Bank"", ""Best Equitas Small Finance Bank Credit Cards""]",₹500 + GST,₹500 + GST,"Spend ₹50,000 In an Anniversary Year",,Reward Points,"Redeem Points for Various Products, Vouchers, and Cashback",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.40%,"1% Waiver Up to ₹3,000 on Transactions Between ₹500 & ₹3,000 | 2.5% or ₹250, Whichever is Higher | N/A","The card comes at a low annual fee of ₹500 + GST, making it an affordable option. It offers an accelerated reward rate of 3X Reward Points on UPI transactions, contactless payments, and Pay-by-3 merchants. An introductory low interest rate of 0.99% per month for the first three months, helping cardholders manage their initial spending more affordably.","[""The card automatically converts transactions made with select merchants into three-month EMIs, making it easier for cardholders to manage their expenses."", ""The annual fee of ₹500 plus GST can be waived if the cardholder spends ₹50,000 within an anniversary year, providing a cost-saving benefit."", ""Enjoy a highly competitive introductory interest rate of just 0.99% per month for the first three months.""]","[""The card does not offer any additional lifestyle perks such as dining discounts, travel benefits, or entertainment rewards, making it less appealing."", ""Lacks complimentary lounge access, which is a common feature in many competing credit cards within a similar price range."", ""Reward points earned on transactions have limited redemption value , especially when converted into cashback (1 RP = ₹0.10), reducing the rewards program’s overall benefits.""]",,cardinsider.com,https://cardinsider.com/equitas-small-finance-bank/tiga-credit-card/
Federal Bank Imperio Credit Card,Federal Bank,Best Federal Bank,"Visa, Mastercard","[""Best Federal Bank"", ""Best Federal Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,1 Reward Point is Valued at ₹0.25,,"You get complimentary Big Basket gift vouchers worth ₹300 when you spend ₹50,000 or more in a quarter.","{""domestic"": ""2 Complimentary Domestic Lounge Access Every Quarter (Based on Spending of ₹40,000 in the Previous Quarter)"", ""international"": ""N/A""}",,45% (3.75% Per Month),3.50%,1% Fuel Surcharge Waiver | 2.5% of Amount Withdrawn or ₹500 Whichever is Higher | ₹99 Per Redemption Request,"Get 3X Reward Points on groceries and healthcare-related spending with your Federal Bank Imperio Credit Card 2X Reward Points on utility spends and 1X on all other spends A welcome benefit worth ₹400 on spends of ₹5,000 during the first 30 days of card issuance Buy 1, Get 1 free offer on movie tickets with INOX Complimentary domestic airport lounge access Complimentary gift vouchers based on quarterly spending 1% fuel surcharge waiver","[""The card is a lifetime free credit card"", ""The card is available on the Visa and Mastercard networks""]","[""The card unfortunately does not provide complimentary international airport lounge access"", ""The card includes limited lifestyle perks""]",,cardinsider.com,https://cardinsider.com/federal-bank/federal-bank-imperio-credit-card/
Federal Bank RuPay Signet Credit Card,Federal Bank,Best Federal Bank,"Visa, RuPay","[""Best Federal Bank"", ""Best Federal Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,1 Reward Point = ₹0.25 & When Redeeming Against Statement – 1 RP = ₹0.10,,"Users can receive complimentary Swiggy vouchers when you spend ₹20,000 or more in a quarter using your Federal Bank RuPay Signet Credit Card.","{""domestic"": ""Complimentary Access Once a Quarter, Four Free Visits Annually"", ""international"": ""N/A""}",,From 0.69% Monthly (8.28% Annually),3.50%,"1% Fuel Surcharge Waiver on Fuel Transactions Between ₹400 and ₹5,000 | 2.5% of the Amount or a Minimum of ₹500, Whichever is Higher | ₹99 On Every Redemption Request",Amazon e-voucher worth ₹200 as a welcome gift Up to 3 Reward Points on everyday spending Buy 1 Get 1 Free offer on movie tickets Complimentary domestic lounge access Complimentary Swiggy vouchers on achieving the spend milestone Exciting dining discount offers,"[""Currently being offered as a lifetime free credit card"", ""Available on Visa as well as RuPay networks"", ""Users can link the RuPay variant of the credit card to UPI""]","[""There is no complimentary international airport lounge access with the card"", ""The card does not offer any lifestyle perks other than BOGO movie offers"", ""The card does not have an extraordinary reward rate, there are better reward rates with other lifetime free credit cards.""]",,cardinsider.com,https://cardinsider.com/federal-bank/federal-bank-rupay-signet-credit-card/
Federal Bank RuPay Wave Credit Card,Federal Bank,Best Federal Bank,"Visa, Mastercard, RuPay","[""Best Federal Bank"", ""Best Federal Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,Redeem for Vouchers and Other Options,,"On spending ₹50,000 in a quarter, cardholders would earn 1,000 additional reward points. These bonus reward points would ensure extra savings on reaching spend milestones. Through this, you can earn 4,000 bonus points in a year.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,41.88% Yearly (3.49% Per Month),3.50%,N/A | N/A | ₹99,"This floater card is available on the RuPay variant and can be easily linked to UPI apps. Earn 1 Reward Point on each spend of ₹200 with this card. The Federal Wave Card offers 1,000 bonus reward points on quarterly spends of ₹50,000. This card comes with a shared limit (other existing Federal Cards).",[],"["""", """"]",,cardinsider.com,https://cardinsider.com/federal-bank/federal-bank-rupay-wave-credit-card/
Federal Bank Visa Celesta Credit Card,Federal Bank,Best Federal Bank,"Visa, Mastercard","[""Best Federal Bank"", ""Best Federal Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,The Reward Points can be Redeemed at Federal Rewards Portal at a Rate of 1 Reward Point = ₹0.25,,,"{""domestic"": ""2 Times Per Quarter at Domestic Airports on Spends of ₹60,000 in the Previous Quarter"", ""international"": ""Twice a Year at International Airports""}",,0.69% Monthly  (8.28% Yearly),2%,1% Fuel Surcharge Waiver | 2.5% of Amount Withdrawn or ₹500 Whichever is Higher | ₹99 + GST on Every Redemption Request,Get 3X Reward Points on travel and international categories 2X Reward Points on dining using your Federal Bank Visa Celesta Credit Card 1X Reward Points on all other categories Welcome gift of an Amazon voucher worth ₹600 Buy 1 Get 1 Free offer on movie tickets on INOX once every month 2 complimentary domestic lounge access every quarter 2 complimentary international lounge access every year,"[""The card comes with a low forex markup fee of 2%"", ""The card is available on the Visa as well as the Mastercard network""]","[""The card has an unsatisfactory reward rate as compared to other premium credit cards of its kind."", ""The credit card does not offer any lifestyle offers or benefits other than BOGO on movie tickets.""]",,cardinsider.com,https://cardinsider.com/federal-bank/federal-bank-visa-celesta-credit-card/
BOBCARD Uni GoldX Credit Card,Bank of Baroda,Best Fintech  in India,,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",Nil,Nil,Nil,,Reward Points,Convert Uni Coins to 24K Digital Gold,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","The eligibility criteria for the card are straightforward and can be summarized by the following checklist: Must be an Indian resident Salaried/Self-employed (Must have a stable income) Must be aged between 21 and 60 years Must present a PAN Card Must have a permanent address proof (Passport, Driving License, Aadhaar Card, Voter’s ID, or any other Officially Valid Document)",3.99% per Month or 47.88% Annually,Nil,"1% Surcharge Waiver; Up to ₹7,500 Only | 2.5% or a Minimum Fee of ₹300 | Nil","Earn rewards of up to 5% when purchasing vouchers from leading brands, including Amazon, Zomato, Myntra, and others No extra Forex fees apply when using your card abroad No joining fees and no annual charges Get a 1% waiver for fuel surcharges at gas stations throughout India Gold rewards don’t expire and can increase in value over time","[""No joining fee or renewal fee applicable"", ""No Forex markup charges"", ""Rewards with appreciating value""]","[""No other lifestyle perks offered"", ""No airport lounge access offered"", ""No milestone perks available""]",,cardinsider.com,https://cardinsider.com/fintech-cards/bobcard-uni-goldx-credit-card/
