card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
HSBC RuPay Platinum Credit Card,HSBC,Best HSBC Bank,"Visa, RuPay","[""Best HSBC Bank"", ""Best HSBC Bank Credit Cards""]",Lifetime Free,Lifetime Free,N/A,,Reward Points,Transfer Reward Points to Various Hotel/Airline Partners,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","To qualify, individuals must meet the following criteria: Be between 18 and 65 years of age. Minimum annual income of ₹400,000 for salaried individuals. Be a resident of India. Reside in one of the following cities: Chennai, Gurgaon, Delhi National Capital Region (NCR), Pune, Noida, Hyderabad, Mumbai, Bangalore, Kochi, Coimbatore, Jaipur, Chandigarh, Ahmedabad, or Kolkata.",3.75% Per Month (45% Per Annum),3.50%,"Surcharge Waiver Up to ₹3,500 Each Year | 2.5% of the Advance Amount, Subject to a Minimum of ₹500 | N/A","The HSBC RuPay Platinum Credit Card is quite similar to the HSBC Visa Platinum Credit Card. This card can be used to make UPI transactions. Earn 2 Reward Points/₹150 spent. Reward Points can be transferred to several hotel and airline loyalty programs such as Marriott, Accor, Air France, and Air India.",[],"["""", """"]",,cardinsider.com,https://cardinsider.com/hsbc-bank/hsbc-rupay-platinum-credit-card/
HSBC Smart Value Credit Card,HSBC,Best HSBC Bank,,"[""Best HSBC Bank"", ""Best HSBC Bank Credit Cards""]",Nil,Nil,NA,,Reward Points,You can redeem the reward points via the HSBC Rewards portal with the value of 1 Reward Point = up to Re. 0.35.,,,"{""domestic"": ""NA"", ""international"": ""NA""}","The eligibility criteria that the applicants need to fulfill in order to get approved for the HSBC Smart Value Card are as mentioned below: The age of the applicant should be between 18 years and 65 years. The annual income of the applicant should be above Rs. 4 lakhs. Only salaried individuals are eligible to apply for this card. The applicant should be a resident of India and must be living in one of these cities: Jaipur, Bengaluru, Chennai, Mumbai, Gurugram, Hyderabad, New Delhi, Noida, Pune, Chandigarh, Kolkata, and Ahmedabad.",1.99% to 3.49% per month.,3.5% on all foreign currency transactions.,1% fuel surcharge waiver on all fuel transactions. | 2.5% of the withdrawn amount subject to a minimum of Rs. 500. | Rs. 50 per redemption request.,"Lifetime free credit card. 10% cashback up to Rs. 1,000 within the first 30 days of card membership. Earn up to 3 Reward Points on every spend of Rs. 100 using the HSBC Smart Value Credit Card. Complimentary airport lounge access as an introductory offer. Amazon gift voucher worth Rs. 500 as a welcome benefit. Variable interest rates. Cashback offers on achieving monthly spend milestones. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/hsbc-bank/hsbc-smart-value-credit-card/
HSBC Taj Credit Card,HSBC,Best HSBC Bank,,"[""Best Credit Cards to Earn Marriott Bonvoy Points"", ""Best HSBC Bank"", ""Best HSBC Bank Credit Cards"", ""Best Hotel Credit Cards"", ""Top 10 Super Premium Credit Cards in India""]","₹1,10,000 + GST","₹1,10,000 + GST",N/A,,Reward Points,Use RPs at Participating Indian and Global Hotels. 1.5 RPs = ₹1,,,"{""domestic"": ""Unlimited Airport Lounge Access"", ""international"": ""Global Unlimited Airport Lounge Access""}",,3.75% Per Month (45% Per Annum),Zero,"Waiver for Fuel Transactions Between ₹400 and ₹4,000 | 2.5% of the Transaction Amount (Minimum ₹300) | N/A","The HSBC Taj Credit Card is a co-branded credit card that offers the best-in-class privileges at Taj and other partnered hotels. This card comes at a joining and annual charge of ₹1,10,000 + GST. Access to the Chambers Lounge. Discounts on services at participating hotels. Get upgraded to Taj Innercircle NeuPass Platinum Tier with the HSBC Taj Credit Card.","[""Those who often stay at IHCL Hotels can definitely get the most out of this luxurious offering, which offers many vouchers and privileges.""]","[""This card has a high joining fee of ₹1.10 lakh, making it unattainable for most people. It is designed exclusively for the ultra-wealthy, which is its intended purpose. However, it would be nice to hope for a more inclusive Taj Hotel Credit Card in the future."", ""For a card with such high fees, the base reward rate of 1% is quite disappointing.""]",,cardinsider.com,https://cardinsider.com/hsbc-bank/hsbc-taj-credit-card/
HSBC TravelOne Credit Card,HSBC,Best HSBC Bank,,"[""Accor Live Limitless Reward Points – Best Ways to Earn & Redeem Your Points"", ""Best Credit Cards for Air India Maharaja Club"", ""Best Credit Cards for The Postcard Hotels & Resorts"", ""Best Credit Cards for United Airlines MileagePlus Miles"", ""Best Credit Cards in India for Qatar Airways Privilege Club (Avios)"", ""Best Credit Cards to Earn KrisFlyer Miles"", ""Best Credit Cards to Earn Marriott Bonvoy Points"", ""Best Credit Cards to Earn Turkish Miles & Smiles"", ""Best HSBC Bank"", ""Best HSBC Bank Credit Cards""]","₹4,999 + GST","₹4,999 + GST",Annual Fee is Waived on Spends of ₹8 Lakh Each Year,,Reward Points,Transfer RPs to Various Hotel and Airlines Partners at 1:1 Ratio,,"Cardholders can earn 10,000 Reward Points with the HSBC TravelOne Credit Card on making spends of ₹12 lakh or more in a card anniversary year. Those who have insurance premium payments and other bills can take advantage of this spend-based offer (no regular rewards are earned for insurance payments with the HSBC TravelOne Credit Card). The anniversary year will be considered from the TravelOne Credit Card account open date.","{""domestic"": ""Six Free Lounge Visits Each Year"", ""international"": ""Four Free International Airport Lounge Visits Each Year""}","To apply, you must meet the following criteria: Be between the ages of 18 and 65 years old. Have a minimum annual income of ₹600,000 for salaried individuals. Be a resident of India. Should have residence or office in these cities: Chennai, Gurgaon, Delhi National Capital Region (NCR), Pune, Noida, Hyderabad, Mumbai, Bangalore, Kochi, Coimbatore, Jaipur, Chandigarh, Ahmedabad, or Kolkata.",3.75% Per Month (45% Per Annum),3.50%,Maximum Waiver of ₹250 Per Month | 2.5% of Transaction Amount (Minimum of ₹500) | N/A,"This card comes at a joining and renewal fee of ₹4,999 + GST The HSBC TravelOne Credit Card is great for travel-related spending. Earn 4 Reward Points/₹100 spent on travel platforms, flights, and international transactions. All other eligible spends shall be awarded 2 Reward Points/₹100. Reward Points earned with this card can be transferred to 15 hotels and 5 airlines.","[""There are no exclusions for the calculation of spending done for the ₹12 lakh milestone benefit."", ""There are many hotels and airlines available to transfer Reward Points.""]","[""Many users may not fully benefit from the welcome offer, as the ₹3,000 PostCard voucher is only applicable to those staying at PostCard hotels."", ""Although this card offers a 4% reward rate for international spending, a 3.5% Forex charge negates those benefits.""]",,cardinsider.com,https://cardinsider.com/hsbc-bank/hsbc-travelone-credit-card/
HSBC Visa Platinum Credit Card,HSBC,Best HSBC Bank,Visa,"[""Best HSBC Bank"", ""Best HSBC Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,"Redeem Reward Points for Gift Vouchers, Airmiles, and More",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","In order to get approved for the Visa Platinum Credit Card by HSBC, you will have to follow certain eligibility criteria, which are mentioned below: The age of the applicant should lie between 18 years and 65 years. The applicant should have a stable source of income with a minimum monthly income of ₹4 lakhs. This card is issued to salaried individuals only. Self-employed people can apply only if they have a savings/current account in HSBC. The applicant should be an Indian resident. The applicant should be from one of these cities: Bengaluru, New Delhi, Gurugram, Hyderabad, Mumbai, Chennai, Noida, Kolkata, Pune, Chandigarh, Jaipur and Ahmedabad.",3.75% Monthly/45% Annually,3.50%,1% fuel surcharge waiver at all fuel stations in India. | 2.5% of the Advance Amount Subject to a Minimum of ₹500 | Nil,There is no joining and annual fee. 2 Reward Points on every other ₹150 spent on this card. Buy 1 get 1 offer on booking movie tickets through BookMyShow. 1% fuel surcharge waiver.,[],[],,cardinsider.com,https://cardinsider.com/hsbc-bank/hsbc-visa-platinum-credit-card/
Accelero ICICI Bank Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]",Rs. 499 + GST,Rs. 499 + GST,"If the cardholder is able to spend Rs. 1.25 Lakhs using this credit card, the renewal fee of this credit card will be waived off.",,Reward Points,The redemption of reward points can be done against cashback or gifts at a rate of 1 Reward Point = Re. 0.25.,,,"{""domestic"": ""1 complimentary visit to the domestic lounge per quarter."", ""international"": ""N/A""}",The eligibility criteria that are required to get approved for the Accelero Credit Card are as mentioned below: The minimum age of the applicant should be 21 years. He should possess a decent credit score and should have a stable source of income.,3.40% per month (or 40.8% annually),3.5% of the amount transacted,1% fuel surcharge is waived off at all HPCL fuel stations. | Higher of 2.5% of the withdrawn amount or Rs. 300. | Rs. 99 (plus applicable taxes),2 Reward Points for every Rs. 100 spent. An additional cashback of 2.5% on fuel purchases from HPCL pumps. Spend-based annual fee waiver. Get a complimentary car wash. Get complimentary 24*7 roadside assistance. 1 complimentary airport lounge access every quarter. 25% discount on movies through Bookmyshow. A discount of 15% or more on dining.,[],[],,cardinsider.com,https://cardinsider.com/icici-bank/accelero-icici-bank-credit-card/
Adani One ICICI Bank Platinum Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best Credit Cards for Utility Bill Payments"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]",₹750 + GST,₹750 + GST,Annual Fee Waiver on Spends of ₹3 Lakh or More,,Adani Reward Points,Redeem Points on Adani Rewards. 1 Adani Reward Point = ₹1,,,"{""domestic"": ""2 Complimentary Airport Lounge Access Each Quarter"", ""international"": ""N/A""}","To be eligible for the Adani One Platinum Credit Card, a minimum CIBIL score of 750 is required.",3.75% Per Month (45% Per Year),3.50%,"1% Surcharge Waiver on Fuel Transactions Between ₹400 and ₹4,000 | 2.5% of the Amount Withdrawn, Subject to a Minimum of ₹500 | N/A",Get exclusive airport privileges at all Adani-managed airports. Free domestic airport lounge access is offered along with the card. Get up to 3 Adani reward points/₹100 on spends made on Adani One. Comes at an affordable joining and annual fee of ₹750 + GST.,"[""This card comes at an affordable joining fee of ₹750."", ""The Adani One Platinum Credit Card offers free airport lounge access without any spending requirements. This is one of the biggest advantages of having this card, as most ICICI Bank Credit Cards require a spending of ₹75,000 each quarter for airport lounge access.""]","[""There are no dining benefits associated with this card."", ""Porter services offered with this card are subject to a spending criterion. Carholders would need to spend ₹1 lakh to be eligible for two porter services.""]",,cardinsider.com,https://cardinsider.com/icici-bank/adani-one-icici-bank-platinum-credit-card/
Adani One ICICI Bank Signature Credit Card,ICICI Bank,Best ICICI Bank,,"[""20+ Best Travel Credit Cards"", ""Best Credit Cards Offering Meet & Greet Airport Services"", ""Best Credit Cards for Movie Tickets in India"", ""Best Credit Cards for Utility Bill Payments"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","Rs. 5,000 + GST","Rs. 5,000 + GST",Annual Fee Waiver on Spends of ₹6 Lakh or More,,Adani Reward Points,Redeem on Adani Rewards. 1 Adani Reward Point = ₹1,,,"{""domestic"": ""4 Free Domestic Airport Lounge Visits Each Quarter"", ""international"": ""2 International Lounge Visits Each Year""}",,3.75% Per Month (45% Per Year),3.50%,"1% Fuel Surcharge Waiver on Fuel Transactions (Up to ₹4,000) | 2.5% of the Amount Withdrawn, Subject to a Minimum of ₹500 | N/A",Earn 7% Adani reward points per ₹100 spent on Adani One and other Adani companies. Earn 1.5% Adani reward points per ₹100 spent domestically. Earn 2% Adani reward points per ₹100 spent internationally. Earn 0.5% Adani reward points per ₹100 on utility and insurance spends. International and domestic airport lounge access is offered for primary cardholders.,"[""This card benefits those traveling frequently within the country, including premium upgrades, airport lounges, and parking privileges."", ""Airport lounge access is offered without any spending requirements."", ""A flight voucher worth ₹5,000 is offered as a joining benefit, which offsets the charges paid for the first year.""]","[""There are no renewal benefits associated with this card.""]",,cardinsider.com,https://cardinsider.com/icici-bank/adani-one-signature-credit-card/
Amazon Pay ICICI Bank Credit Card,ICICI Bank,Best ICICI Bank,Visa,"[""Best Cashback Credit Cards in India"", ""Best Co-Branded Credit Cards"", ""Best Credit Cards for Grocery Shopping in India"", ""Best Credit Cards for Utility Bill Payments"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards"", ""Best Lifetime Free Credit Cards India 2026"", ""Best Online Shopping Credit Cards India"", ""Top 20 Best Credit Cards in India 2026""]",Lifetime Free,Lifetime Free,N/A,,Cashback,Cashback Credited to Amazon Pay Balance,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Per Annum),1.99%,1% fuel surcharge is waived at all petrol stations across India. | 2.5% of the Withdrawn Amount (Subject to a Minimum of ₹500) | Nil,Amazon Prime users get 5% cashback on all purchases made on Amazon. Non-Prime users get 3% cashback on Amazon. Additional cashback on Amazon is applicable only for purchases made on Amazon India (amazon.in). 2% cashback at over 100 partner merchants using this card on Amazon Pay. 1% cashback on other retail transactions. Reward Points are transferred as cashback to the Amazon Pay balance. No expiry date of Reward Points earned on the card transferred as Amazon Pay balance.,"[""This card is most useful to Amazon loyalist who fulfil their online shopping via Amazon."", ""Enjoy 15% off at over 2,500 restaurants in India with the Culinary Treats Program of ICICI Bank."", ""There is no max capping on the Amazon Pay balance that can be earned as cashback on your card.""]","[""This card is mainly for shopping with Amazon it does not provide other benefits like lounge access or entertainment benefits."", ""If you shop on platforms other than Amazon then this card would not be most useful for you. If you prefer Flipkart over Amazon then check out the Flipkart Axis Bank Credit Card."", ""The ICICI Amazon Credit Card offers a high reward rate of 5% on Amazon to Prime members, however, the reward rate on Amazon for non-Prime members is just 3%.""]",,cardinsider.com,https://cardinsider.com/icici-bank/amazon-pay-icici-bank-credit-card/
Chennai Super Kings ICICI Bank Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,The annual fee is waived off on spending Rs. 1.5 lakhs in the previous year.,,Reward Points,The earned Reward Points can be redeemed against CSK merchandise. 1 Reward Point = Re. 0.25.,,,"{""domestic"": ""1 complimentary domestic lounge access every quarter on spending Rs. 5,000 in the previous quarter."", ""international"": ""N/A""}",The basic eligibility criteria that need to be fulfilled in order to get approved for the CSK ICICI Bank Credit Card: The age of the primary cardholder should be above 21 years. The age of the supplementary cardholder should be 18 years or more. The applicant should either be self-employed or salaried. The applicant should have a decent credit score.,3.4% per month,3.5% on all foreign currency spends.,"1% fuel surcharge waiver on all fuel transactions worth up to Rs. 4,000 at all HPCL pumps. | 2.5% of the withdrawn amount subject to a minimum of Rs. 500. | Nil","Welcome and renewal benefit of 2,000 Reward Points. Up to 10 Reward Points on every spend of Rs. 100. Complimentary domestic airport lounge access. The top spenders every month get memorabilia autographed by the key players of the team. The cardholders may also get an opportunity to meet the players of the team. Complimentary tickets to CSK matches during the match season. 25% discount up to Rs. 100 on movie ticket bookings via BookMyShow. 1% fuel surcharge waiver at all HPCL fuel stations. Spend-based waiver of the annual fee.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/chennai-super-kings-icici-bank-credit-card/
Emirates Skywards ICICI Bank Emeralde Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","₹10,000 + GST","₹10,000 + GST",NA,,Air Miles,The earned Skywards Miles can be redeemed via Emirates Skywards website against travel-related spends.,,"You get Emirates Skywards Gold Tier membership on achieving a total annual spend of ₹15 lakhs or more, out of which a minimum of ₹50,000 should be spent on Emirates.","{""domestic"": ""Complimentary Unlimited Access to Domestic Airport Lounges"", ""international"": ""Free Unlimited International Airport Lounge Access""}",The basic eligibility criteria that you need to fulfill in order to get the Emirates Skywards ICICI Emeralde Credit Card are as mentioned below: The age of the primary cardholder should be above 21 years. The age of the supplementary cardholder should be above 18 years. The applicant should have a stable source of income with a high net worth. The applicant should have a good credit score.,3.75% Per Month (45% Per Annum),3.50% on all international transactions.,"1% Fuel Surcharge Waiver on Transactions Between ₹400 – ₹4,000 | Higher of Rs. 500 or 2.5% of the amount withdrawn. | Nil","Complimentary Skywards Silver Tier membership. 10,000 bonus Skywards Miles as a joining benefit. For every Rs. 100 spent, you will get 2 Skyward Miles. Unlimited complimentary access to domestic as well as international lounges. Skywards Miles Gold Tier membership on achieving the milestone spend. Under the ICICI Bank Culinary Treats Programme, you will get exclusive deals on dining. Buy 1 Get 1 Free offer on movie tickets four times every month. Surcharge waiver of 1% on fuel transactions.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-emeralde-credit-card/
Emirates Skywards ICICI Bank Rubyx Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","₹1,000 + GST","₹1,000 + GST",N/A,,Air Miles,The earned Skyward Miles are automatically credited to the cardholder’s Emirates Skywards account.,,,"{""domestic"": ""1 Free Lounge Visit Each Quarter on Spends of ₹75,000 or More in the Previous Quarter"", ""international"": ""N/A""}","The exact eligibility criteria for the Emirates ICICI Bank Rubyx Credit Card has not been disclosed by the card issuer, but the basic eligibility requirements to get approved for this card are as mentioned below: The age of the primary cardholder should be 21 years or more. The age of the supplementary cardholder should be 18 years or more. The applicant should either be salaried or self-employed i.e, the applicant should have a stable source of income. The applicant should have a decent credit score.",3.75% Per Month,3.5% on all foreign currency spends,"1% Fuel Surcharge Waiver on Transactions Between ₹400 – ₹4,000 | 2.5% of the withdrawn amount subject to a minimum of Rs. 500. | Nil",Up to 1 Skyward Miles on every spend of ₹100. Skyward Miles redeemable against travel-related booking via Emirates. Complimentary domestic airport lounge access. 25% discount on movie ticket bookings via BookMyShow. Exciting discount offers and deals on dining. 1% fuel surcharge waiver.,[],[],,cardinsider.com,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-rubyx-credit-card/
Emirates Skywards ICICI Bank Sapphiro Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","₹5,000 + GST","₹5,000 + GST",N/A,,Air Miles,The Skyward Miles that you earn will be automatically credited to your Emirates Skywards account.,,"On achieving an annual spend of Rs. 5 lakhs in an anniversary year, you can get a complimentary upgrade to the Emirates Skywards Gold Tier membership.","{""domestic"": ""2 Complimentary Lounge Access on Spends of ₹75,000 in the Previous Quarter"", ""international"": ""2 complimentary access to international lounges annually.""}","You need to fulfill basic eligibility criteria to get approved for the Emirates Skywards ICICI Sapphiro Credit Card, which is as mentioned below: The primary cardholder needs to be above 21 years of age. The age of the supplementary cardholder should be 18 years or above. The applicant should either be self-employed or salaried. The applicant’s credit score should be well maintained.",3.75% Per Month,3.5% on all international transactions.,"1% Fuel Surcharge Waiver on Transactions Between ₹400 – ₹4,000 | 2.5% of the amount or Rs. 500 (whichever is higher) | Nil","Welcome benefit of 5,000 bonus Skyward Miles. Complimentary Emirates Skywards Silver Tier membership. Up to 1.5 Skyward Miles per Rs. 100 spent. Complimentary access to domestic & international airport lounges. Buy 1 Get 1 Free movie tickets via BookMyShow. Exciting discounts on dining bills with the Culinary Treats Programme. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-sapphiro-credit-card/
ICICI Bank British Airways Classic Credit Card,ICICI Bank,Best ICICI Bank,"Mastercard, American Express","[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]",NIL,"Rs. 3,500 + GST",N/A,,Air Miles,"The Avios you earn can be redeemed against hotel/flight bookings, car rentals, etc, on the official website of British Airways.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.40% per month,3.50%,1% fuel surcharge waiver at all HPCL fuel stations. | 2.5% of the amount withdrawn or a minimum of Rs. 300 | Rs. 99 per redemption request.,"Enjoy the benefits of two cards with a single account. Welcome bonus of 3,500 Avios with your ICICI Bank British Airways Classic Credit Card. Earn 25,000 Avios on booking a British Airways flight within the first three months. Earn up to 2 Avios on every regular spend of Rs. 100. Earn up to 2.5 Avios on British Airways tickets and in-flight shopping spend of Rs. 100. Redeem your earned Avios against flight/hotel bookings. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-british-airways-classic-credit-card/
ICICI Bank British Airways Premium Credit Card,ICICI Bank,Best ICICI Bank,"Mastercard, American Express","[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","Rs. 7,000 + GST","Rs. 7,000 + GST",N/A,,Air Miles,"British Airways Avios can be redeemed for award flights, class upgrades, etc on British Airways or any of its Oneworld partners.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.40% per month (or 40.80% annually),3.50% of the transaction amount,2.5% fuel surcharge waived off at all filling stations across India | 2.50% of the transaction amount (subject to a minimum charge of Rs. 300) | Nil,"You get 2 credit cards together- 1 MasterCard variant and 1 American Express variant. The card earns you rewards an Avios (British Airways AirMiles program). British Airways Executive Club membership and 8,000 Avios as a welcome benefit on using the American Express variant of the card for the first time. 25,000 Avios on booking the first return ticket from India to London within 3 months of card issuance. 4 Avios per Rs. 100 on everyday spends and 6 Avios per Rs. 100 on British Airways tickets and in-flight shopping with the American Express variant. Accelerated Avios (up to 9 Avios per Rs. 100) on achieving the stipulated spends milestones with the American Express variant. 1 Avios per Rs. 100 spent with the MasterCard variant of the card. Up to 3 movie tickets each month from BookMyShow on achieving the stipulated spends based milestones. Minimum 15% discount on dining bills on at partner restaurants under ICICI Bank’s Culinary Treats Program.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-british-airways-premium-credit-card/
ICICI Bank Carbon Credit Card,ICICI Bank,Best ICICI Bank,Visa,"[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","Rs. 1,000 + GST",Nil,N/A,,Reward Points,"The Reward Points are redeemable against cashback, gift, and several other options at a rate of 1 RP = Re. 0.25.",,,"{""domestic"": ""4 complimentary domestic lounge access per calendar quarter"", ""international"": ""N/A""}",,3.4% per month (or 40.8% per annum),3.5% of the transaction amount,"2.5% fuel surcharge waiver at all fuel stations for transactions up to Rs. 4,000 | 2.5% of the cash amount withdrawn or a minimum of Rs. 300 | Rs. 99 (plus applicable taxes) per redemption request","Highly secure credit card for online transactions. Get 2 ICICI Reward Points per Rs. 100 spent using your ICICI Bank Carbon Credit Card. Up to 3 free movie tickets every month. Get a 15% or more discount on dining. Get complimentary airport lounge access every quarter. Up to Rs. 1,500 off on flight bookings. A 10% discount on hotel bookings. 5% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-carbon-credit-card/
ICICI Bank Coral Credit Card,ICICI Bank,Best ICICI Bank,"Visa, Mastercard, RuPay, American Express","[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]",₹500 + GST,₹500 + GST,Annual Fee Waiver on Spends of ₹1.5 Lakh or More,,Reward Points,1 Reward Point = ₹0.25,,"You get 2,000 Reward points on achieving a spend of ₹2 lakh, and you get 1,000 bonus Reward Points on achieving the incremental spend target of ₹1,00,000 within an anniversary year after that. The maximum bonus points you can earn every year are capped at 10,000 Points per year.","{""domestic"": ""1 Domestic Lounge Access Every Quarter (4 Each Year)"", ""international"": ""N/A""}","In the case of the primary cardholder, the age must be 23 years or more. In the case of supplementary cardholders, the age must be 18 years or more. The net income as per the ITR in the case of the primary cardholder must be Rs 5 lakh.",3.75% Per Month (45% Per Annum),3.5% of the transaction amount,"You get a fuel surcharge waiver of 1% across all HPCL petrol stations in India. This offer valid for transaction up to Rs 4,000/- | 2.5% or a Minimum of ₹500 (Whichever is Higher) | ₹99 + GST","1 Reward Point per Rs. 100 you spent on utilities & insurance-related spends. 2 Reward Points per Rs. 100 you spend (except Fuel). Earn up to 10,000 bonus RPs annually under the Milestone Program. Get 1 complimentary domestic lounge access every quarter. Get 1 complimentary railway lounge pass every quarter. Enjoy up to 25% discount on movie ticket booking on BookMyShow and INOX. You get exclusive dining deals through the ICICI Bank Culinary Treats Programme using the ICICI Bank Coral credit card.","[""Even though Coral is a basic credit card, it still offers free railway lounge access without having to meet any spend-based criteria."", ""One can easily link this card (RuPay variant) to UPI and make payments.""]","[""Those who get the paid Coral variant are not offered any joining benefits along with the card.""]",,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-coral-credit-card/
ICICI Bank Diamant Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards""]","Rs. 1,25,000 + GST","Rs. 10,000 + GST",The renewal fee is waived off an annual expenditure of Rs. 25 lakh or more in the previous year.,,Reward Points,The ICICI Reward Points can be redeemed against cashback or gifts at a rate of 1 Reward Point = Rs. 0.25.,,,"{""domestic"": ""Unlimited complimentary domestic airport lounge access"", ""international"": ""Unlimited complimentary international airport lounge access""}",,3.4% per month,3.5% of the transaction amount,"1% fuel surcharge is waived off on all fuel transactions up to Rs. 4,000 | 2.5% of the amount withdrawn subject to a minimum charge of Rs. 300 | Rs. 99 (plus applicable taxes) for every redemption request","Apple MacBook Air MMGG2HN/A as a welcome gift on the realization of the joining fee. 6 Reward Points per Rs. 100 on international purchases. 3 Reward points per Rs. 100 on domestic purchases. Up to 4 complimentary movie tickets every month on BookMyShow. A minimum discount of 15% on dining bills at partner restaurants with the Culinary Treats program. Discounts on dining bills at ITC hotels and partner hotels with Club ITC Culinaire membership. Unlimited complimentary domestic & international lounge access for both primary and guest cardholder(s). Unlimited complimentary golf rounds at premium golf courses across India. Complimentary Taj Epicure Plus and InnerCircle Gold membership. Travel-related insurance benefits including a personal air accident cover worth Rs. 3 crore and Credit shield cover worth Rs. 50,000. 24×7 concierge service for assistance regarding hotel/flight bookings, medical services and emergency auto assistance.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-diamant-credit-card/
ICICI Bank Emeralde Credit Card,ICICI Bank,Best ICICI Bank,,"[""Best ICICI Bank"", ""Best ICICI Bank Credit Cards"", ""Top Credit Cards With Trip Cancellation in India""]","₹12,000 + GST","₹12,000 + GST",Annual Fee Waiver on Spends of ₹10 Lakh or More,,Reward Points,"The earned Reward Points can be redeemed against gifts or cash credit, where 1 Reward Point = Rs. 0.25",,,"{""domestic"": ""Complimentary Unlimited Domestic Airport Lounge Access"", ""international"": ""Complimentary Unlimited International Airport Lounge Access Via Priority Pass""}","Since it is an exclusive premium credit card, it has strict eligibility criteria. Salaried applicants must have a minimum monthly income of Rs. 1,50,000, and self-employed applicants must have filed an income tax return for Rs. 18,00,000 in the previous year. Along with this, the applicant should have a really good credit history with no records of payment defaults.",3.75% Per Month,2%,1% fuel surcharge waived on all fuel purchases at all fuel pumps across the country. | 2.5% Subject to a Minimum of ₹500 | ₹99 + GST,"Unlimited complimentary domestic and international airport lounge access. Up to Rs. 750 off on purchase of second ticket onwards (up to max 4 tickets/month) on BookMyShow for all movie and non-movie ticket purchases. Complimentary golf round/lesson on every Rs. 50,000 spent on the card in the previous month (up to a maximum of 4 rounds/lessons per month). Nominal Foreign Currency Markup of 2%. Reversal of cancellation charges (up to Rs. 12,000) on a maximum of 2 transactions/year for flight/hotel/movie ticket booking. Get up to 4 Reward Points every time you spend Rs. 100.",[],[],,cardinsider.com,https://cardinsider.com/icici-bank/icici-bank-emeralde-credit-card/
